event,timestamp,old_img,new_img
event_0,1775804183,nginx:1.25-alpine,nginx:1.25-alpine
event_1,1775805083,nginx:1.24-alpine,nginx:1.24-alpine
event_2,1775805984,nginx:1.23-alpine,nginx:1.23-alpine
event_3,1775806884,busybox:1.35-glibc,busybox:1.35-glibc
event_4,1775807784,alpine:3.18,alpine:3.18
event_5,1775808684,nginx:1.25-alpine,nginx:1.25-alpine
event_6,1775809584,nginx:1.24-alpine,nginx:1.24-alpine
event_7,1775810484,nginx:1.23-alpine,nginx:1.23-alpine
event_8,1775811384,busybox:1.35-glibc,busybox:1.35-glibc
event_9,1775812285,alpine:3.18,alpine:3.18
