event,timestamp,old_img,new_img
event_0,1775804092,nginx:1.24-alpine,nginx:1.25-alpine
event_1,1775804992,nginx:1.25-alpine,nginx:1.24-alpine
event_2,1775805892,nginx:1.24-alpine,nginx:1.23-alpine
event_3,1775806793,nginx:1.23-alpine,busybox:1.35-glibc
event_4,1775807693,busybox:1.35-glibc,alpine:3.18
event_5,1775808593,alpine:3.18,nginx:1.25-alpine
event_6,1775809493,nginx:1.25-alpine,nginx:1.24-alpine
event_7,1775810393,nginx:1.24-alpine,nginx:1.23-alpine
event_8,1775811293,nginx:1.23-alpine,busybox:1.35-glibc
event_9,1775812194,busybox:1.35-glibc,alpine:3.18
